block_id,nlcd_forest_distance
60070001044,0.2121287156134121
60070024021,1.0
60070024012,1.0
60070016011,0.0747666768333687
60070016021,0.2241138607770454
60070016022,0.1370630092538109
60070024023,1.0
60070004042,0.2825014661435499
60070024011,1.0
60070004041,0.2090592254474572
60070001032,0.1852197628610507
60070004031,0.3602409619046661
60070016012,0.1935012801843272
60070004032,0.300576840670373
60070016023,0.1479710509786873
60070009044,0.3209543004178115
60070024022,1.0
60070004012,0.1887183637674976
60070005015,0.4493986219417504
60070035013,0.1115542043386497
60070035021,1.0
60070037002,0.304654141777141
60070009032,0.2690342779949938
60070035012,0.1047390678992685
60070004011,0.1541718426672975
60070017042,0.3699643416465661
60070026013,0.277981364745676
60070001043,0.3855353132336163
60070001031,0.2100299315224842
60070001041,0.2913638326817668
60070001042,0.2453857444875486
60070009041,0.4057518645615932
60070009043,0.509803017131198
60070017032,0.3051481972593819
60070017043,0.4833963499424987
60070026021,0.4887770115690015
60070030011,0.5714604255764635
60070030012,0.5328986311707481
60070009033,0.534950872575049
60070026023,0.4440211556713967
60070035011,0.1309642575495718
60070035014,0.1013822067756873
60070030013,0.5733858339218668
60070030022,0.5241758765139686
60070030023,0.376575333051883
60070035022,0.1103198492985208
60070035023,0.1207379542853927
60070035024,0.0997337969229918
60070037001,0.5385599538590932
60070037003,0.3302661827990347
60070037004,0.555413007177527
60070030014,0.4370544394084743
60070009011,0.1603944807038776
60070009031,0.2472635450373294
60070009034,0.4884863341946568
60070026012,0.4988619107851877
60070030024,0.3505902070921854
60070032003,0.1655902977784882
60070034001,0.1154991379620065
60070034002,0.2142201378181776
60070036001,0.1150970662731665
60070036002,0.0913956896073854
60070031001,0.2392678905019963
60070009042,0.2763975042224569
60070017031,0.2859823628075392
60070017041,0.1008272624270607
60070026011,0.3859101702709187
60070026022,1.0
60070030021,0.489080386583724
60070020005,0.2574628991564896
60070020006,0.3854483840153191
60070021001,0.2810972662408827
60070021002,0.2481557872672279
60070021003,0.2432237027196992
60070021005,0.4321834429725391
60070022001,1.0
60070022003,0.3507494805733142
60070023003,0.2928956372614353
60070025001,0.2896658608339272
60070025002,0.4567310955271554
60070025003,0.4469682149150957
60070027002,1.0
60070027003,0.4021365439223962
60070002013,0.2231949263697093
60070019001,0.5129025981986298
60070023001,0.1811145802354175
60070010005,0.7483347875433191
60070012001,0.3655065427598448
60070015005,0.1704958476145101
60070027004,0.3750417027827759
60070031002,0.5834990020848615
60070031004,0.3277404395862922
60070032001,0.24769233537411
60070032002,0.1914003875687253
60070017024,0.9402728492288592
60070031003,0.6821744830888007
60070001022,0.2632424575210014
60070006033,0.6303762175756883
60070019002,0.2350483462369837
60070027005,0.5524170032924763
60070028001,0.4771827965570774
60070028002,0.3353283342171094
60070028003,0.4037880706455341
60070028005,0.2748902947183467
60070029001,0.5491586255344264
60070029002,0.7771113190126279
60070033002,0.184907323504057
60070017021,0.2181694165395034
60070023005,0.5286635938600956
60070022004,0.0827631142670198
60070018001,0.1565393380288008
60070027001,0.5526727658069177
60070028004,0.2596255160726664
60070027006,0.5772489481247145
60070017022,0.1783887439405577
60070036003,0.1069096148357776
60070015004,0.0648521740884514
60070021004,0.2144296715837165
60070003003,0.3586447163567842
60070002024,0.3664571536208991
60070008004,0.333502164781162
60070006032,0.4941529184587663
60070023002,0.2212101775982896
60070033003,0.1459562670937023
60070006043,0.5556043520230588
60070014003,0.5273620494833199
60070005022,0.453492020256536
60070022002,0.2322980640288809
60070011001,0.6504779275068607
60070017023,0.1664162285249572
60070006045,0.495189652855279
60070002023,0.3083173986297813
60070003001,0.7815641379787598
60070023004,0.4455897329153637
60070001023,0.2424854137651528
60070010003,0.4529039371318374
60070020001,0.1842042004624149
60070025004,0.7228529665890548
60070033001,0.98634749069759
60070001021,0.3719697358634847
60070002011,0.2365658409753676
60070002012,0.2195963818349471
60070002014,0.2488317291704561
60070002021,0.3662935616957757
60070002022,0.308232254882902
60070003002,0.2022338406078165
60070003004,0.4952405044798044
60070005014,0.3809402002833954
60070005011,0.1855256413284895
60070005012,0.2714930811020875
60070005013,0.3101740312932876
60070006011,0.3191108785499933
60070005021,0.4292971282700515
60070005023,0.7035942148284204
60070005024,0.9128196401732178
60070006012,0.4763363186175648
60070006013,0.3584336965929477
60070006031,0.4306446077016245
60070008006,0.2814800455249968
60070006042,0.4171884473993307
60070006044,0.3743976915515388
60070007001,0.4935935048689261
60070007002,0.4109798647720799
60070007003,0.5178094925289204
60070006041,0.7864116242109997
60070007004,0.5913687253507678
60070008001,0.3432159562440295
60070008002,0.2807011555336204
60070008003,0.2994366344229534
60070008005,0.3318455561163906
60070010001,0.4005748001825274
60070010002,0.7698169834510641
60070010004,0.7223210600068682
60070010006,0.5593119102798545
60070011002,0.3260357803634818
60070011003,0.4218347675655268
60070011004,0.6144070173627717
60070011005,0.7482513134794567
60070012002,0.4792082973236434
60070012003,0.1599680215873215
60070012004,0.4673411446518831
60070013001,0.3344161373345007
60070013002,0.3240752379907214
60070013003,0.2368414987399055
60070013004,0.4026658450494662
60070014001,0.4076307599818446
60070014002,0.1551038143837556
60070014004,0.4737085910675455
60070015001,0.1187229274363095
60070015002,0.0685125972775653
60070015003,0.083130357454543
60070018002,0.1848696620415973
60070018003,0.2151065572547109
60070018004,0.2004667776933988
60070018005,0.1991437281559447
60070019003,0.1799433380150891
60070019004,0.2529455920676595
60070020002,0.223281388632409
60070020003,0.2279574836697246
60070020004,0.3191003852199432
