B01001_001E,B01001_020E,B01001_021E,B01001_022E,B01001_023E,B01001_024E,B01001_025E,state,county,tract,block group,GEOID
297,0,0,9,48,63,0,06,007,001800,2,060070018002
296,0,0,0,19,0,0,06,007,001800,3,060070018003
215,8,0,0,0,0,6,06,007,001800,4,060070018004
393,0,0,18,0,0,0,06,007,001800,5,060070018005
347,0,6,0,10,72,0,06,007,001900,1,060070019001
141,9,15,9,5,6,0,06,007,001900,2,060070019002
164,0,0,0,15,5,6,06,007,001900,3,060070019003
289,0,15,16,0,5,5,06,007,001900,4,060070019004
367,0,0,134,0,0,20,06,007,002000,1,060070020001
164,12,8,21,4,0,8,06,007,002000,2,060070020002
195,0,0,0,23,11,0,06,007,002000,3,060070020003
363,0,19,6,0,0,0,06,007,002000,4,060070020004
407,3,0,14,74,1,11,06,007,002000,5,060070020005
155,8,8,0,0,12,0,06,007,002000,6,060070020006
475,0,0,25,9,0,0,06,007,002100,1,060070021001
340,0,0,20,0,9,9,06,007,002100,2,060070021002
164,6,0,9,0,0,0,06,007,002100,3,060070021003
165,0,9,9,9,9,0,06,007,002100,4,060070021004
339,0,22,0,5,9,0,06,007,002100,5,060070021005
567,2,2,6,6,9,7,06,007,002200,1,060070022001
960,35,71,18,22,37,0,06,007,002200,2,060070022002
280,0,0,6,6,0,0,06,007,002200,3,060070022003
756,40,19,0,0,0,0,06,007,002200,4,060070022004
237,12,0,7,0,0,18,06,007,002300,1,060070023001
265,0,8,0,21,30,0,06,007,002300,2,060070023002
341,4,8,12,0,0,0,06,007,002300,3,060070023003
248,11,0,29,0,0,0,06,007,002300,4,060070023004
1124,0,3,0,24,5,19,06,007,002300,5,060070023005
374,0,4,14,20,0,0,06,007,002401,1,060070024011
785,28,22,84,24,0,0,06,007,002401,2,060070024012
1154,11,79,8,74,4,0,06,007,002402,1,060070024021
989,31,24,57,8,11,11,06,007,002402,2,060070024022
997,37,26,59,45,25,23,06,007,002402,3,060070024023
867,0,9,12,11,0,15,06,007,002500,1,060070025001
2265,7,0,0,40,10,5,06,007,002500,2,060070025002
1712,8,17,23,2,0,0,06,007,002500,3,060070025003
1199,40,15,47,36,15,7,06,007,002500,4,060070025004
559,0,9,60,16,9,0,06,007,002601,1,060070026011
890,5,87,36,42,8,24,06,007,002601,2,060070026012
824,8,12,72,36,53,2,06,007,002601,3,060070026013
1255,85,21,33,61,27,23,06,007,002602,1,060070026021
