block_id,road_length
060070001044,0.16545938952588543
060070024021,6.990672207293612
060070024012,7.545027321602005
060070016011,4.785921173823283
060070016021,2.689013543023558
060070016022,2.3268844950788563
060070024023,4.764576624557299
060070004042,0.19100782178520653
060070024011,3.820609306087025
060070004041,0.7363007116130865
060070001032,0.3999965268677468
060070004031,0.2032712112499266
060070016012,1.1324675327890112
060070004032,0.3310281011432933
060070016023,0.7020857912711396
060070009044,0.1419787919231866
060070024022,3.4823585955221517
060070004012,0.39332854418555135
060070005015,0.04182137553074503
060070035013,0.19626296129987125
060070035021,3.2016295408306945
060070037002,2.609391546491299
060070009032,0.1450133975802853
060070035012,0.18961792303891348
060070004011,0.411021719873795
060070017042,1.2670994131570472
060070026013,0.6015580660725238
060070001043,0.18747856374965738
060070001031,0.4155407716979437
060070001041,0.2633990418606884
060070001042,0.1266971473065609
060070009041,0.5407528211217955
060070009043,0.11519065509784968
060070017032,0.5065742516252975
060070017043,0.7099071011005029
060070026021,0.7912419515335316
060070030011,0.21782373747582687
060070030012,0.20180507260062425
060070009033,0.2505737496136655
060070026023,0.542331995338768
060070035011,1.1088021141154134
060070035014,0.12865833967471843
060070030013,0.18956371850803655
060070030022,0.39840653760903944
060070030023,0.21256901875343157
060070035022,0.227618157617421
060070035023,0.2064583439737115
060070035024,0.279957005004878
060070037001,0.46264253850187
060070037003,0.4011721036464809
060070037004,0.29456767914295456
060070030014,0.13891127181210747
060070009011,1.0102575516206938
060070009031,0.36897358744999736
060070009034,0.3576740716569232
060070026012,0.4128468892906083
060070030024,0.1420130277869075
060070032003,0.8557981496448945
060070034001,0.8208211314748562
060070034002,1.1538264578961168
060070036001,0.43757776547507066
060070036002,0.8044412226346028
060070031001,0.6139955664744302
060070009042,0.23015468708275344
060070017031,0.4438098003069081
060070017041,5.271768138002779
060070026011,0.6946056293091575
060070026022,0.8961842885642203
060070030021,0.9773190412207922
060070020005,0.43261760537572913
060070020006,0.2838321333520275
060070021001,0.4062619553944482
060070021002,0.20001855969483842
060070021003,0.24128865793788234
060070021005,0.3372624717102637
060070022001,0.5280500433556481
060070022003,0.3361040063642777
060070023003,0.3428185491811001
060070025001,0.21540674274806756
060070025002,0.20649087683929607
060070025003,0.13776101622480047
060070027002,0.33725889108853224
060070027003,0.19130703646626646
060070002013,0.1720806570040795
060070019001,0.3481721425921448
060070023001,0.4462358809422585
060070010005,0.08975449725307505
060070012001,0.20058119505477648
060070015005,3.1111284915994855
060070027004,0.20686555767378792
060070031002,0.3321039568176999
060070031004,0.4255289493231802
060070032001,0.5808051446103325
060070032002,1.3249848989706212
060070017024,0.5745221892469601
060070031003,0.36037800713053547
060070001022,0.24935484845193526
060070006033,0.15457741798483085
060070019002,0.3438447514230992
060070027005,0.31336331273788
060070028001,0.1789899830804053
060070028002,0.3890908033493719
060070028003,0.2955265492601715
060070028005,0.20225013335083214
060070029001,0.6833932903869528
060070029002,0.5471767675539396
060070033002,2.3166478737374785
060070017021,0.2893975989805452
060070023005,1.9137118847755892
060070022004,1.2901680084539233
060070018001,0.6654109966956134
060070027001,0.6387044187461335
060070028004,0.23204893786136188
060070027006,0.46745566868855665
060070017022,0.4759459900003311
060070036003,6.600484429572264
060070015004,2.391482134090339
060070021004,0.5062663027477313
060070003003,0.11709602076247812
060070002024,0.14100127201659224
060070008004,0.19053952330133042
060070006032,0.07485617253568183
060070023002,0.4891494271201988
060070033003,2.7583049490659732
060070006043,0.038670083399222455
060070014003,4.05280519736943
060070005022,0.03471451873053995
060070022002,2.9423872935663926
060070011001,0.06738668998939432
060070017023,0.8752313808100646
060070006045,0.04228782825516995
060070002023,0.14035297436557512
060070003001,0.10842247255713963
060070023004,0.5259630954681598
060070001023,0.3379675850486693
060070010003,0.09446942069757204
060070020001,0.2966207299131852
060070025004,2.227670108662112
060070033001,3.1225448473109214
060070001021,0.2928885028906827
060070002011,0.24079670407671086
060070002012,0.2816042612059163
060070002014,0.23756073843477427
060070002021,0.2058013645065967
060070002022,0.09093385301060636
060070003002,0.37138851526563954
060070003004,0.12721074612810376
060070005014,0.060231307885627736
060070005011,0.530507629128266
060070005012,0.26049744252964735
060070005013,0.1760298007333441
060070006011,0.16150816185680747
060070005021,0.18042307434573313
060070005023,0.06096154577375615
060070005024,0.06315214963757716
060070006012,0.1349939172595723
060070006013,0.26392564644621597
060070006031,0.10809610088993313
060070008006,0.15442333658584942
060070006042,0.06998723498758304
060070006044,0.132936378966391
060070007001,0.2166660634025675
060070007002,0.20383731304017577
060070007003,0.35791595929795483
060070006041,0.07375140601536576
060070007004,0.22699961089138987
060070008001,0.2600874224324669
060070008002,0.18615488238109154
060070008003,0.19083080826710186
060070008005,0.1544569267220319
060070010001,0.17037635250507285
060070010002,0.14631819785324132
060070010004,0.12018227878444322
060070010006,0.2296608611528672
060070011002,0.4299210124567739
060070011003,0.204405053135779
060070011004,0.24486355359427675
060070011005,0.11197209294716184
060070012002,0.1309468995633864
060070012003,0.47355615530625544
060070012004,0.07592283936215996
060070013001,0.22278930162474966
060070013002,0.16128861121570415
060070013003,0.4078781517441644
060070013004,0.11920907692398963
060070014001,1.3808505110381928
060070014002,1.4114378405865948
060070014004,1.1361811793198022
060070015001,1.377009625246726
060070015002,0.7824892490610598
060070015003,1.2453482740021364
060070018002,0.29510935284004525
060070018003,0.4335796795959257
060070018004,0.3775244117233041
060070018005,0.22856991899074142
060070019003,0.298893656390258
060070019004,0.34827722567916997
060070020002,0.25690327694782966
060070020003,0.3058421415411774
060070020004,0.2994250469352363
