block_id,hospital_dist
060070001044,3.9015176544889076
060070024021,22.133360703992583
060070024012,7.7586992836154325
060070016011,10.066184449635397
060070016021,4.229837137605861
060070016022,5.478631393032343
060070024023,10.761002357550074
060070004042,0.39316224529473126
060070024011,0.19757686526412682
060070004041,0.6740464741286124
060070001032,4.241559479034669
060070004031,0.0
060070016012,18.51459917530828
060070004032,0.46718974165733324
060070016023,6.224019944658935
060070009044,6.275417875236132
060070024022,13.638812105399865
060070004012,2.733952605874375
060070005015,1.733538071810916
060070035013,1.0597406696090945
060070035021,1.942332270393084
060070037002,4.2279947213917275
060070009032,6.065694321468374
060070035012,0.6013163519463304
060070004011,1.754203043618782
060070017042,7.86651073718274
060070026013,4.802960944123887
060070001043,1.8365479521591788
060070001031,3.473905132778197
060070001041,2.637929994273442
060070001042,3.3540811373409207
060070009041,2.9804948728975798
060070009043,3.3250925721983227
060070017032,8.963736654915042
060070017043,8.190528200741834
060070026021,3.657545837311324
060070030011,0.42163175533578806
060070030012,0.014133483746769338
060070009033,3.4466611861926917
060070026023,5.042227640802278
060070035011,0.31846210006801073
060070035014,0.8393887484200669
060070030013,0.4587076293794101
060070030022,3.3156895753835274
060070030023,1.4232541013822446
060070035022,0.6684200868867137
060070035023,1.45170982058952
060070035024,0.0
060070037001,5.9624794230340825
060070037003,3.382483681542242
060070037004,4.0261514596017625
060070030014,0.9729796247216991
060070009011,6.85373160366494
060070009031,4.989282417966516
060070009034,4.93623195842405
060070026012,5.702644584914601
060070030024,1.3513850623822738
060070032003,6.338800791110232
060070034001,0.11021114981338438
060070034002,2.3920889127070226
060070036001,6.72957962092228
060070036002,5.345335406467244
060070031001,3.5396755618968023
060070009042,6.187700809446554
060070017031,8.012510746865727
060070017041,7.949036670878218
060070026011,8.930218759790495
060070026022,7.095149609149547
060070030021,1.1219770905700255
060070020005,1.8495440248560382
060070020006,2.2235000965100338
060070021001,3.2916554038434325
060070021002,4.721479428194029
060070021003,5.5599742190737
060070021005,3.8050876607125828
060070022001,3.9963002484666954
060070022003,6.101991788351976
060070023003,1.7213848616656728
060070025001,1.6848394759805518
060070025002,1.6556333213426055
060070025003,2.9817206921821287
060070027002,0.0
060070027003,1.1922361674396094
060070002013,2.021498719985423
060070019001,3.8732306476694593
060070023001,1.0408838898931774
060070010005,2.549178530330104
060070012001,2.976628508343768
060070015005,9.63253795051848
060070027004,0.6416472970767457
060070031002,0.9923095363852277
060070031004,2.4856817289777373
060070032001,5.529131456304332
060070032002,4.9672365331234465
060070017024,11.694870161838073
060070031003,0.16120637775627608
060070001022,2.8873754924310395
060070006033,0.18961730818810868
060070019002,0.9373301076018441
060070027005,0.24188840340324577
060070028001,0.20944570909077276
060070028002,0.5992211001836835
060070028003,2.463298248184568
060070028005,1.594385720701898
060070029001,3.7634384459799435
060070029002,5.582481804542218
060070033002,14.731951932950793
060070017021,5.72779308814014
060070023005,6.114553032088537
060070022004,6.15546559710159
060070018001,4.727909163541911
060070027001,1.2589790251289177
060070028004,1.448176402486792
060070027006,0.6730369085518509
060070017022,6.401220273617995
060070036003,3.048736073826381
060070015004,14.915753745391664
060070021004,5.727908717717714
060070003003,0.7723071106075409
060070002024,1.56933578039087
060070008004,1.6452975862864851
060070006032,0.36712001791102167
060070023002,0.88652705756158
060070033003,4.244209605952276
060070006043,0.7893916152561699
060070014003,5.737682581445077
060070005022,1.4429504023964452
060070022002,5.387663134441496
060070011001,2.7973040990729787
060070017023,7.407137118919522
060070006045,0.6791669718637835
060070002023,2.105229064567433
060070003001,0.8277835587241714
060070023004,2.4855664395886765
060070001023,3.1223454567274427
060070010003,2.4823720059199528
060070020001,0.0
060070025004,2.89314218114129
060070033001,4.627916996328406
060070001021,1.291771048845791
060070002011,2.7145289956846743
060070002012,3.0136937075324246
060070002014,1.6482909887335786
060070002021,1.6807934519209395
060070002022,1.9463162221851142
060070003002,1.014610833757471
060070003004,0.7835731333180936
060070005014,1.9955531617514786
060070005011,1.9091795144507493
060070005012,2.124546442122213
060070005013,2.485545348439962
060070006011,0.7369924178254352
060070005021,1.9402321055093474
060070005023,1.7093321956423027
060070005024,1.4914588173535075
060070006012,0.7125695785583046
060070006013,0.18688977003492815
060070006031,0.0
060070008006,2.81906943468143
060070006042,0.8461814430410801
060070006044,0.2465592219659846
060070007001,0.6321611281996219
060070007002,0.041964152275142864
060070007003,0.7216794884115639
060070006041,0.970298906002431
060070007004,0.03606304952131067
060070008001,2.8159307268540315
060070008002,2.943767847814593
060070008003,2.0198744012586705
060070008005,3.028282901588672
060070010001,1.9745097202089783
060070010002,1.613208668470613
060070010004,1.788329472916864
060070010006,2.308833829815149
060070011002,3.251539312246111
060070011003,3.0271573292093636
060070011004,2.2008283539389515
060070011005,2.081381785214167
060070012002,2.989985405539398
060070012003,3.9534524365028356
060070012004,3.2512720618697446
060070013001,3.289293106572124
060070013002,3.582678993125839
060070013003,4.259544477797088
060070013004,3.0415232298825057
060070014001,3.674438332557439
060070014002,2.4356172061827177
060070014004,7.9177577624721565
060070015001,5.535742161230063
060070015002,14.360010315771271
060070015003,6.5280615568255715
060070018002,3.988551647122462
060070018003,3.4275235590359268
060070018004,3.2755820899215378
060070018005,5.249785296307507
060070019003,1.8317562969896888
060070019004,2.8871084564331437
060070020002,0.5921943188082816
060070020003,1.052315012294685
060070020004,1.3623942636384427
