block_id,nlcd_forest_distance
060050001014,0.15055679794303295
060050001012,0.19165173783498027
060050001022,0.10661816710230695
060050003012,0.3139150842448373
060050003011,0.19506044935613356
060050003031,0.30806108396407744
060050001021,1.0
060050003041,0.22060684524022717
060050003042,0.3377425208416035
060050001011,0.23197059224420752
060050005001,0.3304911947092281
060050004012,0.8902417622161911
060050004014,0.45568355406830197
060050004024,0.7221505814560997
060050003032,0.1987729764756051
060050005003,0.2495738734896965
060050004013,0.7539081038455309
060050004022,0.6551035891973549
060050004023,0.19390647030946986
060050004011,0.1649838386070628
060050005002,0.6981851949428802
060050004021,0.2852155104686801
060050001013,0.13205520765581077
060050003033,0.5554214237522437
060050002011,0.31638945711898814
060050002021,0.39501939976513156
060050002013,0.22549875430188474
060050001015,0.6407160189912116
060050002022,0.1456856572220967
060050002012,0.18049005221672693
