block_id,fire_station_dist
060070001044,0.35763548160952735
060070024021,0.0
060070024012,0.0
060070016011,0.0
060070016021,0.0
060070016022,0.0
060070024023,0.0
060070004042,2.8038942107517055
060070024011,0.0
060070004041,2.9164151138711305
060070001032,0.05729415905595872
060070004031,2.041809028602284
060070016012,0.12812549515991764
060070004032,1.1563030904521479
060070016023,1.8093852082883077
060070009044,2.5590707817312635
060070024022,0.04214743373372261
060070004012,3.635479751174979
060070005015,2.1268149037367112
060070035013,1.3967890690513474
060070035021,1.8999775811776605
060070037002,1.5038351149621225
060070009032,2.3426236092136583
060070035012,0.9869437067415752
060070004011,4.198869662572021
060070017042,0.8160634800202033
060070026013,0.5906232874917469
060070001043,1.5376540947158368
060070001031,1.5177073724508148
060070001041,0.4825757543546066
060070001042,0.0800619161412285
060070009041,1.1880972053637766
060070009043,2.640733591226926
060070017032,1.0241490063236578
060070017043,0.42250430678323014
060070026021,0.27898224736280847
060070030011,4.617021881694092
060070030012,3.5122414631814216
060070009033,1.5164031166364107
060070026023,0.0
060070035011,1.03212175211108
060070035014,1.6008720631492155
060070030013,4.248633849511434
060070030022,3.573018922567382
060070030023,5.528693664278852
060070035022,0.9271206553005757
060070035023,1.7537250295686133
060070035024,0.2278841903329481
060070037001,3.5307033158084273
060070037003,0.7814109189753493
060070037004,2.193008664454718
060070030014,4.3316541107475945
060070009011,3.166643994251118
060070009031,1.3316262882051941
060070009034,2.2238648924690727
060070026012,0.33754711375489643
060070030024,4.928729838965422
060070032003,0.0
060070034001,0.0
060070034002,1.8688932808276375
060070036001,0.08491756467260739
060070036002,0.0
060070031001,1.3958087676871218
060070009042,1.9585760367267921
060070017031,0.0
060070017041,0.0
060070026011,3.3059486449504525
060070026022,1.9023442033964852
060070030021,3.4591271716129137
060070020005,1.5466972126653002
060070020006,0.8929358568891306
060070021001,0.8079357455675219
060070021002,1.2665652299481232
060070021003,0.8012017515110658
060070021005,0.0
060070022001,0.16577078991137786
060070022003,0.4349923136449054
060070023003,0.021636200692212386
060070025001,0.0
060070025002,0.5717157799353115
060070025003,0.11080945896544664
060070027002,3.257590587488797
060070027003,3.995081945235735
060070002013,1.6922040006355985
060070019001,1.213052719824966
060070023001,2.387257021899345
060070010005,2.558233383251344
060070012001,0.6393523137434238
060070015005,1.3711806608031063
060070027004,3.3106834184273333
060070031002,2.145398411869491
060070031004,4.490408958073024
060070032001,0.4153352508849162
060070032002,0.9829911135657308
060070017024,2.6472381014883566
060070031003,3.744741834346685
060070001022,1.370190502669536
060070006033,0.2291034873890832
060070019002,1.2009872889075541
060070027005,2.480319462030184
060070028001,2.5486862669469845
060070028002,1.9964971483519192
060070028003,1.8595614900699207
060070028005,2.1133126329502447
060070029001,0.4491487976060962
060070029002,2.5017933039231357
060070033002,0.0
060070017021,0.7412970432727781
060070023005,5.014819494121463
060070022004,0.34086701451599866
060070018001,0.49406857447308516
060070027001,2.336084880418964
060070028004,1.4843706773267469
060070027006,1.8390006583254812
060070017022,0.16400163132421422
060070036003,0.0
060070015004,0.2239731490938913
060070021004,0.3227711833408267
060070003003,2.0306284309290854
060070002024,1.353871212265077
060070008004,1.5457871825925258
060070006032,0.7574436470655976
060070023002,1.0615026879682596
060070033003,1.571658567489981
060070006043,1.1664244832709902
060070014003,0.0
060070005022,1.8341700632332405
060070022002,1.598180834928852
060070011001,2.973760346056965
060070017023,2.1943772576728597
060070006045,1.095777583127741
060070002023,0.7004694427268839
060070003001,1.080767523415925
060070023004,0.0
060070001023,0.0
060070010003,1.908355713096452
060070020001,1.9038690804365601
060070025004,0.7202534052578541
060070033001,0.028582992945990024
060070001021,1.2780448877739006
060070002011,0.2571472197683965
060070002012,0.648655016836
060070002014,0.9809070444855142
060070002021,0.0
060070002022,0.1598047072851618
060070003002,2.08328606742929
060070003004,1.7952653784180503
060070005014,2.4240830594171197
060070005011,2.3552445990473805
060070005012,2.5644031718232605
060070005013,2.9100408623564555
060070006011,1.6669536343051168
060070005021,2.347142595966181
060070005023,2.0706836760167078
060070005024,1.85265477946922
060070006012,1.0418325779589082
060070006013,0.5238626495472904
060070006031,0.12632721054837637
060070008006,1.5146824382742718
060070006042,1.2735294950135918
060070006044,0.6942883192237033
060070007001,0.8585632531166849
060070007002,0.01709096052205124
060070007003,0.7174009808355309
060070006041,1.2982337837820819
060070007004,0.0
060070008001,0.47628200128518366
060070008002,0.4381928553942346
060070008003,1.8610561082003398
060070008005,1.5698132721558304
060070010001,1.9209272228481842
060070010002,1.6438492723315292
060070010004,1.9726657567306638
060070010006,1.9383634719671314
060070011002,2.2647644153824706
060070011003,1.9209673893260093
060070011004,2.442042691216079
060070011005,2.3042761345661305
060070012002,1.4940751906633516
060070012003,0.17626482847672842
060070012004,1.623563251968626
060070013001,1.0117364547332555
060070013002,0.829778732057837
060070013003,0.0
060070013004,1.487107509665579
060070014001,0.04752354001888766
060070014002,2.8236787214048644
060070014004,0.6564975949284161
060070015001,0.1840488663459205
060070015002,0.0
060070015003,1.4221283506883957
060070018002,0.8951428062227459
060070018003,0.0
060070018004,1.1441057015105378
060070018005,2.3932128200589577
060070019003,1.143249628097254
060070019004,0.43016294115581566
060070020002,0.9041851973558704
060070020003,1.15350968337322
060070020004,0.0156447199274625
